epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
212 0.79311 0.80778 0.8441 0.7204
213 0.80572 0.81432 0.851 0.72833
214 0.75173 0.80321 0.82736 0.70957
215 0.79218 0.80959 0.83988 0.71661
216 0.81333 0.79799 0.83942 0.71853
217 0.82163 0.78898 0.84403 0.72051
218 0.80234 0.78938 0.8384 0.71484
219 0.79274 0.78884 0.83096 0.7169
220 0.79139 0.78225 0.83253 0.71354
221 0.80401 0.80119 0.84845 0.73227
222 0.80405 0.7958 0.84431 0.72337
223 0.80998 0.77105 0.84445 0.73036
224 0.81933 0.78645 0.83775 0.71798
225 0.7846 0.81825 0.83878 0.7227
226 0.83185 0.776 0.84914 0.72845
227 0.82548 0.77794 0.84848 0.73079
228 0.79462 0.81718 0.84109 0.72259
229 0.82595 0.79779 0.8469 0.72763
230 0.80284 0.79356 0.84338 0.72682
231 0.79098 0.80573 0.8449 0.72697
232 0.80891 0.79678 0.83799 0.72215
233 0.81243 0.79305 0.83382 0.7196
234 0.81448 0.79895 0.83701 0.72038
235 0.83284 0.78584 0.84314 0.72346
236 0.82562 0.80642 0.84467 0.71947
237 0.82502 0.80322 0.85224 0.73196
238 0.832 0.8084 0.85095 0.73591
239 0.8407 0.81123 0.85251 0.73399
240 0.82679 0.80907 0.84265 0.72728
241 0.82402 0.8056 0.84607 0.72741
242 0.8104 0.82992 0.85094 0.73186
243 0.81711 0.80874 0.83996 0.71842
244 0.82014 0.81093 0.84321 0.72358
245 0.8037 0.82689 0.84607 0.72497
246 0.78443 0.82831 0.84448 0.7228
247 0.80144 0.82962 0.85174 0.72963
248 0.83626 0.8179 0.86114 0.73707
249 0.79791 0.81401 0.85404 0.73458
250 0.8 0.80997 0.85099 0.72868
251 0.8246 0.80078 0.85569 0.73103
252 0.83345 0.78476 0.85272 0.73096
253 0.81859 0.78398 0.84408 0.72511
254 0.80074 0.80264 0.84625 0.72641
255 0.81175 0.78473 0.83583 0.713
256 0.80003 0.79145 0.83693 0.7172
257 0.81809 0.78109 0.84819 0.72689
258 0.80798 0.79736 0.84695 0.71948
259 0.78982 0.80758 0.84497 0.71394
260 0.81315 0.7849 0.83596 0.70746
261 0.81976 0.79597 0.84445 0.72105
262 0.82713 0.79086 0.85194 0.72869
263 0.81109 0.79554 0.85289 0.73003
264 0.83505 0.78991 0.85041 0.72906
265 0.82634 0.79916 0.85339 0.72886
266 0.815 0.79119 0.85622 0.72956
267 0.82088 0.80002 0.85534 0.7349
268 0.80682 0.80895 0.8461 0.72471
269 0.83152 0.80307 0.85672 0.73528
270 0.81183 0.79976 0.84878 0.72753
271 0.84045 0.76829 0.84152 0.72095
272 0.79549 0.81231 0.84642 0.72558
273 0.79325 0.80255 0.84638 0.72446
274 0.84047 0.78929 0.84834 0.72681
275 0.82423 0.80769 0.84792 0.71999
276 0.83073 0.80002 0.84265 0.71705
277 0.81898 0.79235 0.84249 0.72141
278 0.81786 0.77348 0.83926 0.72132
279 0.81649 0.78272 0.84607 0.72771
280 0.84156 0.75908 0.84415 0.72789
281 0.80799 0.78024 0.84487 0.72805
282 0.80016 0.79714 0.84224 0.72664
283 0.84039 0.79175 0.8502 0.73232
284 0.84651 0.78446 0.849 0.73294
285 0.83081 0.79597 0.84884 0.72884
286 0.80695 0.79099 0.8454 0.72583
287 0.82531 0.77716 0.83891 0.71791
288 0.81605 0.79186 0.84087 0.71902
289 0.82867 0.78616 0.84723 0.72909
290 0.80914 0.79979 0.85556 0.73414
291 0.82308 0.80452 0.85923 0.73484
292 0.837 0.78844 0.85772 0.73592
293 0.84094 0.79743 0.86203 0.73953
294 0.83101 0.78771 0.8588 0.73656
295 0.81859 0.80305 0.85368 0.73226
296 0.82052 0.79746 0.85279 0.73309
297 0.81546 0.79701 0.85497 0.73486
298 0.80536 0.812 0.85472 0.73279
299 0.80407 0.80321 0.85665 0.73244
300 0.81414 0.81461 0.85842 0.73605
301 0.80322 0.81793 0.85755 0.73557
