epoch metrics/precision(B) metrics/recall(B) metrics/mAP50(B) metrics/mAP50-95(B)
189 0.76821 0.79773 0.82273 0.69571
190 0.77817 0.7995 0.81793 0.6954
191 0.83052 0.77026 0.82555 0.69771
192 0.7877 0.80391 0.82274 0.69823
193 0.77987 0.80476 0.82917 0.71035
194 0.79261 0.78621 0.82442 0.70299
195 0.82312 0.76825 0.82873 0.70277
196 0.79849 0.78397 0.82189 0.70556
197 0.79757 0.77226 0.82261 0.69716
198 0.78823 0.79045 0.83629 0.70809
199 0.75792 0.8053 0.81407 0.69319
200 0.72982 0.8206 0.81102 0.69412
201 0.74274 0.80498 0.81028 0.69003
202 0.75552 0.81024 0.81845 0.6963
203 0.79416 0.75103 0.81281 0.68886
204 0.76368 0.8087 0.81553 0.69579
205 0.81593 0.7707 0.83247 0.71078
206 0.80553 0.76334 0.82146 0.70073
207 0.78509 0.76088 0.8169 0.69559
208 0.78612 0.78653 0.82857 0.69948
209 0.80234 0.78213 0.82707 0.70561
210 0.82901 0.75682 0.83059 0.71006
211 0.76914 0.80309 0.83034 0.70903
212 0.79159 0.79127 0.83205 0.705
213 0.78556 0.79049 0.82004 0.6997
214 0.79325 0.76156 0.81837 0.69657
215 0.79262 0.79155 0.81405 0.69844
216 0.77948 0.79352 0.82976 0.70645
217 0.78084 0.78145 0.81987 0.69514
218 0.81488 0.77392 0.83747 0.7117
219 0.78875 0.77543 0.83033 0.70884
220 0.78454 0.7936 0.83035 0.70588
221 0.81361 0.77479 0.82064 0.69969
222 0.76021 0.8193 0.81281 0.69814
223 0.77441 0.7994 0.81305 0.69647
224 0.77956 0.79806 0.81403 0.69859
225 0.78235 0.81049 0.81578 0.69724
226 0.75667 0.82281 0.81607 0.69548
227 0.77983 0.81802 0.82511 0.70186
228 0.76459 0.81578 0.82876 0.70616
229 0.77294 0.78645 0.82274 0.70477
230 0.74644 0.81314 0.83359 0.71003
231 0.77949 0.7991 0.83148 0.71015
232 0.78856 0.81325 0.84123 0.71711
233 0.77686 0.79751 0.8356 0.7128
234 0.80899 0.77622 0.84161 0.72014
235 0.75859 0.81102 0.83126 0.70862
236 0.78237 0.77232 0.82112 0.69733
237 0.76871 0.80062 0.82814 0.7056
238 0.77681 0.81365 0.8374 0.71177
239 0.77349 0.8099 0.83299 0.70439
240 0.79911 0.80703 0.83959 0.70907
241 0.77729 0.81082 0.83397 0.70837
242 0.81327 0.78924 0.83645 0.70845
243 0.78697 0.82327 0.83276 0.70164
244 0.77125 0.82575 0.82029 0.69548
245 0.78415 0.78823 0.81887 0.68995
246 0.78134 0.80523 0.82626 0.70206
247 0.77581 0.81278 0.82924 0.71137
248 0.80072 0.80637 0.84385 0.72449
249 0.80169 0.81421 0.8449 0.72461
250 0.78859 0.82328 0.83765 0.71314
251 0.78827 0.80847 0.83383 0.70858
252 0.80524 0.79669 0.83285 0.70626
253 0.79412 0.80928 0.83471 0.70885
254 0.79724 0.81904 0.83913 0.71129
255 0.79565 0.82906 0.83894 0.71393
256 0.81588 0.78207 0.83593 0.70845
257 0.80213 0.79534 0.83064 0.70095
258 0.77248 0.82725 0.83127 0.70343
259 0.80002 0.7958 0.82647 0.69812
260 0.76673 0.82771 0.83347 0.69891
261 0.77679 0.82628 0.83153 0.70012
262 0.77752 0.80347 0.82264 0.69515
263 0.80731 0.76822 0.82271 0.69818
264 0.79921 0.77663 0.8162 0.69281
265 0.75132 0.80827 0.8161 0.69286
266 0.76983 0.77794 0.8228 0.69613
267 0.80817 0.78632 0.83116 0.70369
268 0.82383 0.77969 0.83169 0.70647
269 0.76494 0.82936 0.82669 0.70252
270 0.81551 0.7839 0.83126 0.70744
271 0.78906 0.82343 0.83387 0.71222
272 0.77202 0.82569 0.8325 0.70956
273 0.80002 0.80064 0.83005 0.71106
274 0.79999 0.80242 0.83193 0.71456
275 0.80115 0.79915 0.83413 0.71779
276 0.78624 0.80051 0.82998 0.71066
277 0.74624 0.83586 0.82293 0.70488
278 0.8112 0.78455 0.82985 0.70903
279 0.78204 0.82492 0.83652 0.71397
280 0.76096 0.82068 0.82736 0.7049
281 0.78774 0.79181 0.82578 0.70372
282 0.78282 0.79921 0.82277 0.70153
283 0.79247 0.79993 0.82593 0.70478
284 0.78305 0.79359 0.82569 0.7057
285 0.77839 0.78324 0.81969 0.699
286 0.77276 0.78073 0.81381 0.69127
287 0.75357 0.79083 0.81066 0.68692
288 0.73227 0.81606 0.8187 0.69628
289 0.73853 0.81309 0.81883 0.69516
290 0.81301 0.75081 0.82375 0.70384
291 0.78669 0.79274 0.82991 0.70561
292 0.774 0.79382 0.82583 0.70167
293 0.75381 0.80437 0.81847 0.69539
294 0.78163 0.77044 0.82022 0.69743
295 0.75228 0.81909 0.82313 0.70219
296 0.7776 0.7823 0.82305 0.70373
297 0.77328 0.79307 0.82554 0.70431
298 0.75549 0.83093 0.82624 0.70829
299 0.76364 0.8294 0.83279 0.71272
300 0.79253 0.78845 0.82877 0.7116
301 0.76048 0.82444 0.8274 0.70751
302 0.78702 0.79945 0.83077 0.71118
303 0.8075 0.78975 0.83059 0.70893
304 0.77689 0.82226 0.82975 0.70875
305 0.78311 0.81766 0.83093 0.71099
306 0.78749 0.80685 0.82933 0.70717
307 0.78915 0.80912 0.82844 0.70494
308 0.79356 0.80999 0.82976 0.70199
309 0.78666 0.80726 0.82814 0.69964
310 0.8014 0.7976 0.83302 0.69976
311 0.77913 0.81009 0.83294 0.70161
312 0.79796 0.79921 0.83641 0.70545
313 0.79793 0.80217 0.83489 0.70568
314 0.79848 0.80359 0.83315 0.7085
315 0.76674 0.8312 0.82622 0.70309
316 0.77833 0.82574 0.82954 0.70415
317 0.78149 0.82477 0.83041 0.7086
318 0.79073 0.83041 0.82995 0.70853
319 0.80196 0.81325 0.83128 0.70681
320 0.77687 0.84067 0.82939 0.70255
321 0.77995 0.83579 0.82774 0.7071
322 0.76359 0.84825 0.82376 0.70404
323 0.77809 0.83972 0.82778 0.70931
324 0.77298 0.83596 0.82543 0.70592
